item_id,sale_id,user_id,name,type,brand,qty,value
141,1498,359,OptiClarity,Soluciones,Bright,2,14000
142,64,277,SightSoothe,Gotas,Lupa,2,18000
143,1008,328,LuminEye Care,Gotas,Bright,2,6000
144,1148,509,SightSoothe,Soluciones,Glassi,4,4000
145,1261,76,OptiGleam,Soluciones,Lupa,1,2000
146,851,637,OptiClarity,Lentes de Contacto,Glassi,4,16000
147,1764,434,EyeRevive,Lentes de Contacto,Bright,4,20000
148,1161,233,LuminEye Care,Lentes de Contacto,Bright,4,14000
149,1702,287,LuminEye Care,Gotas,Lupa,2,12000
150,126,484,OptiClarity,Lentes de Contacto,Lupa,1,12000
151,1816,243,VisionGuard,Gotas,Glassi,1,20000
152,252,782,VisionGuard,Lentes de Contacto,Lupa,3,18000
153,448,653,OptiGleam,Soluciones,Bright,2,4000
154,775,620,LuminEye Care,Soluciones,Lupa,1,14000
155,426,763,SightSoothe,Gotas,Bright,4,8000
156,844,471,OptiClarity,Lentes de Contacto,Glassi,1,10000
157,628,500,VisionGuard,Soluciones,Bright,1,18000
158,1003,761,SightSoothe,Gotas,Lupa,3,18000
159,445,463,OptiClarity,Lentes de Contacto,Bright,2,14000
160,918,416,OptiClarity,Soluciones,Glassi,1,10000
161,1846,648,LuminEye Care,Lentes de Contacto,Lupa,3,20000
162,635,640,OptiGleam,Gotas,Glassi,2,18000
163,1293,651,ClearView Elite,Soluciones,Lupa,1,2000
164,947,315,LuminEye Care,Soluciones,Glassi,1,2000
165,427,589,OptiGleam,Lentes de Contacto,Bright,2,2000
166,753,746,OptiClarity,Lentes de Contacto,Glassi,1,2000
167,795,584,ClearView Elite,Lentes de Contacto,Bright,1,12000
168,1803,305,OptiClarity,Soluciones,Lupa,1,16000
169,42,607,IrisBright,Soluciones,Glassi,1,8000
170,420,250,IrisBright,Gotas,Bright,3,10000
171,1547,355,ClearView Elite,Soluciones,Bright,1,4000
172,1484,191,LuminEye Care,Soluciones,Bright,2,2000
173,1294,408,OptiClarity,Lentes de Contacto,Lupa,1,14000
174,859,793,OptiClarity,Lentes de Contacto,Glassi,3,6000
175,990,293,IrisBright,Lentes de Contacto,Bright,4,12000
176,1797,626,SightSoothe,Gotas,Bright,2,20000
177,1809,180,EyeRevive,Gotas,Glassi,2,18000
178,941,24,ClearView Elite,Lentes de Contacto,Bright,3,2000
179,1282,172,LuminEye Care,Lentes de Contacto,Glassi,3,12000
180,1359,577,OptiGleam,Soluciones,Bright,4,20000
181,1141,711,LuminEye Care,Lentes de Contacto,Bright,3,20000
182,1401,418,OptiGleam,Soluciones,Glassi,2,10000
183,122,551,SightSoothe,Lentes de Contacto,Bright,4,20000
184,537,32,ClearView Elite,Soluciones,Lupa,2,8000
185,825,532,SightSoothe,Lentes de Contacto,Lupa,4,16000
186,1141,525,ClearView Elite,Lentes de Contacto,Lupa,3,16000
187,1932,277,EyeRevive,Gotas,Bright,1,20000
188,966,608,OptiGleam,Gotas,Lupa,2,16000
189,1721,453,SightSoothe,Lentes de Contacto,Lupa,1,2000
190,1901,508,OptiClarity,Lentes de Contacto,Lupa,2,2000
191,533,360,IrisBright,Soluciones,Lupa,3,14000
192,656,324,IrisBright,Soluciones,Lupa,2,12000
193,409,720,IrisBright,Gotas,Lupa,3,14000
194,262,128,ClearView Elite,Gotas,Bright,1,16000
195,1408,195,EyeRevive,Lentes de Contacto,Lupa,3,8000
196,282,695,VisionGuard,Gotas,Glassi,1,18000
197,1179,340,VisionGuard,Soluciones,Glassi,1,20000
198,1181,29,LuminEye Care,Gotas,Glassi,4,18000
199,1167,353,LuminEye Care,Lentes de Contacto,Bright,2,20000
200,1527,289,OptiClarity,Soluciones,Bright,1,12000
201,285,432,IrisBright,Gotas,Glassi,4,16000
202,1088,338,OptiGleam,Soluciones,Lupa,1,6000
203,1143,267,OptiGleam,Soluciones,Glassi,2,4000
204,1137,775,VisionGuard,Gotas,Lupa,4,2000
205,64,416,ClearView Elite,Gotas,Bright,2,6000
206,1006,488,SightSoothe,Gotas,Lupa,1,4000
207,1135,382,OptiGleam,Lentes de Contacto,Glassi,1,14000
208,185,337,IrisBright,Lentes de Contacto,Bright,4,6000
209,458,510,ClearView Elite,Gotas,Bright,4,20000
210,527,726,ClearView Elite,Lentes de Contacto,Lupa,1,4000
211,1798,466,OptiClarity,Gotas,Bright,1,16000
212,1563,491,EyeRevive,Gotas,Bright,2,12000
213,1699,82,ClearView Elite,Soluciones,Bright,3,8000
214,1813,188,EyeRevive,Gotas,Glassi,2,8000
215,552,9,OptiGleam,Soluciones,Glassi,4,18000
216,300,711,VisionGuard,Gotas,Glassi,1,14000
217,748,505,VisionGuard,Soluciones,Lupa,4,6000
218,1914,109,IrisBright,Lentes de Contacto,Bright,4,4000
219,1418,551,IrisBright,Soluciones,Glassi,2,20000
220,626,781,OptiClarity,Soluciones,Glassi,3,20000
221,1078,543,VisionGuard,Gotas,Bright,1,8000
222,1880,26,OptiGleam,Soluciones,Bright,3,8000
223,285,774,VisionGuard,Soluciones,Lupa,4,12000
224,1856,77,EyeRevive,Lentes de Contacto,Bright,1,14000
225,1161,272,OptiClarity,Gotas,Lupa,1,16000
226,877,667,ClearView Elite,Soluciones,Glassi,1,16000
227,1072,550,EyeRevive,Gotas,Glassi,2,8000
228,1800,205,SightSoothe,Lentes de Contacto,Glassi,4,12000
229,1444,648,VisionGuard,Soluciones,Lupa,4,18000
230,449,647,SightSoothe,Soluciones,Lupa,1,8000
231,450,160,LuminEye Care,Soluciones,Lupa,3,8000
232,1261,28,EyeRevive,Lentes de Contacto,Bright,3,14000
233,1227,239,OptiGleam,Soluciones,Bright,4,18000
234,52,173,IrisBright,Gotas,Glassi,3,8000
235,252,51,IrisBright,Lentes de Contacto,Glassi,1,18000
236,1781,122,SightSoothe,Soluciones,Bright,2,14000
237,1906,514,OptiClarity,Soluciones,Glassi,4,2000
238,255,213,VisionGuard,Lentes de Contacto,Bright,2,12000
239,1633,152,IrisBright,Lentes de Contacto,Glassi,3,6000
240,1357,653,IrisBright,Soluciones,Lupa,2,8000
241,672,179,IrisBright,Soluciones,Bright,1,4000
242,569,489,IrisBright,Lentes de Contacto,Bright,4,18000
243,1046,19,SightSoothe,Gotas,Lupa,1,2000
244,1261,629,VisionGuard,Soluciones,Glassi,2,10000
245,992,527,OptiClarity,Gotas,Lupa,3,14000
246,16,683,LuminEye Care,Lentes de Contacto,Glassi,3,18000
247,1823,367,OptiClarity,Soluciones,Bright,1,20000
248,1761,783,SightSoothe,Gotas,Bright,2,4000
249,1650,789,VisionGuard,Gotas,Bright,2,14000
250,1374,472,EyeRevive,Lentes de Contacto,Lupa,2,2000
251,531,310,OptiClarity,Lentes de Contacto,Glassi,2,14000
252,1800,108,IrisBright,Gotas,Bright,1,18000
253,859,495,LuminEye Care,Gotas,Glassi,4,2000
254,90,765,VisionGuard,Lentes de Contacto,Bright,2,4000
255,1458,167,OptiClarity,Gotas,Glassi,1,2000
256,72,681,ClearView Elite,Gotas,Glassi,2,8000
257,1462,561,OptiClarity,Soluciones,Bright,2,6000
258,1843,756,SightSoothe,Soluciones,Glassi,1,16000
259,1140,253,EyeRevive,Gotas,Lupa,4,14000
260,1197,97,LuminEye Care,Lentes de Contacto,Lupa,3,2000
261,1641,177,EyeRevive,Soluciones,Bright,1,6000
262,516,382,LuminEye Care,Lentes de Contacto,Glassi,3,18000
263,870,199,ClearView Elite,Lentes de Contacto,Glassi,1,4000
264,1798,768,ClearView Elite,Soluciones,Lupa,2,18000
265,1263,61,IrisBright,Lentes de Contacto,Bright,3,2000
266,1965,2,OptiGleam,Lentes de Contacto,Lupa,3,6000
267,1910,771,EyeRevive,Gotas,Lupa,2,20000
268,1677,640,LuminEye Care,Gotas,Glassi,2,10000
269,1398,423,EyeRevive,Gotas,Lupa,2,20000
270,18,794,ClearView Elite,Lentes de Contacto,Glassi,1,6000
271,78,199,IrisBright,Lentes de Contacto,Lupa,1,12000
272,477,33,ClearView Elite,Lentes de Contacto,Lupa,1,18000
273,855,677,LuminEye Care,Gotas,Glassi,3,20000
274,1441,100,SightSoothe,Gotas,Glassi,2,6000
275,1247,459,VisionGuard,Gotas,Bright,2,18000
276,110,325,EyeRevive,Lentes de Contacto,Lupa,4,14000
277,1750,798,ClearView Elite,Soluciones,Glassi,3,6000
278,1344,553,VisionGuard,Lentes de Contacto,Lupa,4,6000
279,828,638,OptiClarity,Gotas,Glassi,4,2000
280,543,618,LuminEye Care,Gotas,Bright,1,16000
281,1734,777,EyeRevive,Gotas,Lupa,1,12000
282,950,374,OptiGleam,Gotas,Glassi,4,18000
283,1995,588,IrisBright,Lentes de Contacto,Bright,4,20000
284,1432,46,IrisBright,Soluciones,Lupa,3,8000
285,1078,441,LuminEye Care,Lentes de Contacto,Glassi,2,4000
286,1796,524,EyeRevive,Lentes de Contacto,Glassi,2,2000
287,1081,114,EyeRevive,Soluciones,Lupa,4,2000
288,819,260,OptiClarity,Gotas,Glassi,1,4000
289,645,228,ClearView Elite,Soluciones,Bright,2,12000
290,619,151,EyeRevive,Lentes de Contacto,Glassi,3,20000
291,1250,221,EyeRevive,Soluciones,Glassi,4,4000
292,676,174,OptiClarity,Lentes de Contacto,Glassi,4,14000
293,164,749,SightSoothe,Soluciones,Bright,4,8000
294,801,430,ClearView Elite,Gotas,Lupa,3,14000
295,1900,234,OptiClarity,Gotas,Bright,3,14000
296,1607,220,ClearView Elite,Lentes de Contacto,Bright,3,12000
297,655,490,OptiClarity,Soluciones,Glassi,3,10000
298,1322,197,OptiClarity,Soluciones,Bright,1,14000
299,118,643,LuminEye Care,Gotas,Bright,4,18000
300,868,423,OptiClarity,Gotas,Bright,2,14000
301,53,584,IrisBright,Gotas,Bright,4,2000
302,1665,595,LuminEye Care,Gotas,Bright,4,6000
303,212,310,EyeRevive,Gotas,Glassi,3,14000
304,212,229,VisionGuard,Soluciones,Bright,3,6000
305,337,38,OptiGleam,Gotas,Bright,1,20000
306,878,262,SightSoothe,Gotas,Glassi,2,2000
307,165,31,LuminEye Care,Gotas,Glassi,4,10000
308,764,44,IrisBright,Gotas,Bright,3,8000
309,1002,68,SightSoothe,Soluciones,Lupa,4,18000
310,1499,778,IrisBright,Gotas,Lupa,4,10000
311,1090,476,EyeRevive,Lentes de Contacto,Lupa,1,4000
312,673,215,VisionGuard,Soluciones,Glassi,4,2000
313,1135,166,LuminEye Care,Lentes de Contacto,Glassi,1,12000
314,523,693,ClearView Elite,Lentes de Contacto,Glassi,1,8000
315,1099,758,SightSoothe,Gotas,Bright,3,18000
316,1238,309,SightSoothe,Lentes de Contacto,Bright,1,18000
317,1367,779,OptiClarity,Gotas,Lupa,4,20000
318,1280,778,EyeRevive,Lentes de Contacto,Glassi,3,4000
319,199,248,IrisBright,Soluciones,Bright,2,12000
320,383,471,LuminEye Care,Gotas,Bright,4,6000
321,799,132,OptiClarity,Gotas,Bright,4,18000
322,472,72,EyeRevive,Lentes de Contacto,Glassi,2,8000
323,622,256,IrisBright,Gotas,Glassi,2,16000
324,1622,719,ClearView Elite,Lentes de Contacto,Glassi,1,16000
325,567,15,ClearView Elite,Lentes de Contacto,Glassi,4,14000
326,1023,57,SightSoothe,Soluciones,Glassi,3,2000
327,664,297,EyeRevive,Soluciones,Lupa,4,10000
328,554,23,LuminEye Care,Lentes de Contacto,Glassi,4,20000
329,507,542,EyeRevive,Soluciones,Bright,1,18000
330,597,569,VisionGuard,Lentes de Contacto,Lupa,4,6000
331,1528,455,ClearView Elite,Gotas,Glassi,1,6000
332,1050,742,OptiClarity,Gotas,Bright,2,14000
333,1788,227,LuminEye Care,Gotas,Bright,3,8000
334,525,21,EyeRevive,Soluciones,Bright,4,16000
335,168,465,SightSoothe,Soluciones,Lupa,4,8000
336,925,624,ClearView Elite,Lentes de Contacto,Lupa,2,2000
337,436,402,SightSoothe,Soluciones,Glassi,3,14000
338,456,768,ClearView Elite,Lentes de Contacto,Glassi,4,4000
339,48,419,VisionGuard,Soluciones,Bright,2,2000
340,509,527,EyeRevive,Soluciones,Lupa,1,10000
341,1731,301,VisionGuard,Soluciones,Bright,2,8000
342,1749,772,SightSoothe,Lentes de Contacto,Glassi,3,10000
343,1778,665,VisionGuard,Gotas,Bright,1,18000
344,288,242,SightSoothe,Gotas,Bright,1,14000
345,271,162,IrisBright,Gotas,Bright,4,12000
346,247,44,LuminEye Care,Soluciones,Lupa,1,8000
347,231,782,SightSoothe,Lentes de Contacto,Lupa,4,14000
348,663,624,SightSoothe,Lentes de Contacto,Lupa,2,6000
349,339,120,OptiGleam,Gotas,Glassi,1,2000
350,161,263,SightSoothe,Soluciones,Lupa,1,14000
351,1231,168,OptiClarity,Lentes de Contacto,Lupa,2,2000
352,1797,208,ClearView Elite,Gotas,Bright,1,4000
353,756,124,EyeRevive,Soluciones,Bright,1,14000
354,656,567,IrisBright,Gotas,Bright,2,16000
355,1460,748,ClearView Elite,Soluciones,Lupa,2,16000
356,1086,540,ClearView Elite,Soluciones,Glassi,2,6000
357,660,163,SightSoothe,Soluciones,Bright,1,12000
358,1634,496,OptiGleam,Lentes de Contacto,Bright,3,16000
359,1145,598,ClearView Elite,Lentes de Contacto,Bright,4,10000
360,123,522,EyeRevive,Lentes de Contacto,Glassi,2,4000
361,854,33,ClearView Elite,Soluciones,Glassi,3,16000
362,364,747,EyeRevive,Lentes de Contacto,Bright,3,10000
363,1230,481,LuminEye Care,Gotas,Lupa,1,10000
364,1032,432,VisionGuard,Soluciones,Lupa,4,12000
365,858,533,SightSoothe,Gotas,Glassi,2,2000
366,1330,585,ClearView Elite,Soluciones,Bright,3,8000
367,1114,535,VisionGuard,Lentes de Contacto,Bright,4,8000
368,583,43,EyeRevive,Soluciones,Lupa,4,10000
369,547,340,ClearView Elite,Lentes de Contacto,Lupa,4,16000
370,666,791,SightSoothe,Soluciones,Glassi,4,10000
371,1252,631,OptiClarity,Gotas,Lupa,2,2000
372,1347,586,IrisBright,Gotas,Glassi,4,18000
373,1528,674,IrisBright,Gotas,Lupa,1,18000
374,122,421,IrisBright,Lentes de Contacto,Lupa,2,16000
375,1753,536,EyeRevive,Soluciones,Bright,2,20000
376,126,572,LuminEye Care,Gotas,Glassi,1,20000
377,523,431,EyeRevive,Gotas,Lupa,4,12000
378,891,481,OptiClarity,Soluciones,Glassi,2,10000
379,1229,760,ClearView Elite,Soluciones,Glassi,1,16000
380,1195,584,EyeRevive,Soluciones,Glassi,1,10000
381,679,250,OptiClarity,Lentes de Contacto,Glassi,4,14000
382,184,318,VisionGuard,Gotas,Glassi,3,18000
383,983,297,ClearView Elite,Gotas,Lupa,2,16000
384,627,213,ClearView Elite,Gotas,Glassi,2,4000
385,1280,398,VisionGuard,Lentes de Contacto,Bright,1,12000
386,683,613,VisionGuard,Soluciones,Glassi,3,8000
387,352,394,EyeRevive,Soluciones,Glassi,1,2000
388,1993,472,LuminEye Care,Lentes de Contacto,Glassi,4,18000
389,673,9,ClearView Elite,Gotas,Bright,1,10000
390,774,660,IrisBright,Soluciones,Glassi,1,16000
391,1544,89,OptiClarity,Lentes de Contacto,Lupa,3,10000
392,261,383,ClearView Elite,Gotas,Bright,2,16000
393,1016,21,VisionGuard,Lentes de Contacto,Glassi,2,4000
394,1304,549,IrisBright,Soluciones,Bright,3,20000
395,1369,538,EyeRevive,Lentes de Contacto,Glassi,3,10000
396,1203,76,EyeRevive,Soluciones,Glassi,4,14000
397,1123,654,EyeRevive,Soluciones,Lupa,1,4000
398,949,469,SightSoothe,Lentes de Contacto,Glassi,1,10000
399,1252,592,VisionGuard,Lentes de Contacto,Lupa,4,2000
400,724,310,SightSoothe,Lentes de Contacto,Glassi,1,16000
401,426,774,SightSoothe,Gotas,Bright,3,18000
402,355,425,OptiClarity,Lentes de Contacto,Lupa,2,18000
403,1917,515,EyeRevive,Lentes de Contacto,Glassi,1,20000
404,1044,305,OptiClarity,Lentes de Contacto,Bright,3,8000
405,1147,274,ClearView Elite,Soluciones,Glassi,2,14000
406,1203,239,EyeRevive,Lentes de Contacto,Glassi,2,18000
407,1684,34,EyeRevive,Gotas,Glassi,4,4000
408,1675,107,OptiClarity,Gotas,Lupa,4,14000
409,1469,285,IrisBright,Lentes de Contacto,Glassi,2,18000
410,1859,548,OptiGleam,Lentes de Contacto,Bright,4,2000
411,1835,774,EyeRevive,Lentes de Contacto,Glassi,3,14000
412,1692,325,ClearView Elite,Soluciones,Glassi,4,12000
413,39,205,LuminEye Care,Lentes de Contacto,Glassi,2,10000
414,1097,616,ClearView Elite,Gotas,Lupa,1,18000
415,1070,252,OptiGleam,Gotas,Lupa,3,4000
416,947,46,IrisBright,Soluciones,Lupa,2,16000
417,1992,238,OptiClarity,Lentes de Contacto,Lupa,3,20000
418,318,733,VisionGuard,Soluciones,Bright,4,12000
419,1690,142,SightSoothe,Soluciones,Lupa,4,20000
420,357,26,OptiClarity,Lentes de Contacto,Bright,1,4000
421,1607,205,ClearView Elite,Lentes de Contacto,Glassi,3,16000
422,718,256,IrisBright,Gotas,Lupa,4,20000
423,1558,210,EyeRevive,Gotas,Lupa,1,2000
424,615,555,VisionGuard,Soluciones,Bright,1,20000
425,396,496,IrisBright,Soluciones,Bright,1,4000
426,67,366,IrisBright,Soluciones,Lupa,1,4000
427,1324,56,OptiGleam,Gotas,Bright,2,12000
428,1026,82,ClearView Elite,Lentes de Contacto,Glassi,1,6000
429,1299,791,SightSoothe,Soluciones,Bright,1,2000
430,1083,744,IrisBright,Soluciones,Bright,4,12000
431,292,407,OptiGleam,Gotas,Bright,4,12000
432,480,359,OptiClarity,Gotas,Lupa,2,20000
433,1793,86,SightSoothe,Gotas,Lupa,2,6000
434,1697,676,LuminEye Care,Lentes de Contacto,Lupa,1,14000
435,290,534,OptiClarity,Lentes de Contacto,Lupa,1,20000
436,1179,182,LuminEye Care,Gotas,Glassi,1,12000
437,933,413,SightSoothe,Gotas,Glassi,3,20000
438,1834,752,LuminEye Care,Lentes de Contacto,Glassi,3,8000
439,1990,613,VisionGuard,Lentes de Contacto,Glassi,2,8000
440,896,513,LuminEye Care,Soluciones,Glassi,2,10000
441,990,430,VisionGuard,Lentes de Contacto,Bright,1,10000
442,1975,691,LuminEye Care,Gotas,Lupa,3,8000
443,258,131,OptiGleam,Soluciones,Lupa,1,12000
444,1167,181,ClearView Elite,Gotas,Bright,2,2000
445,1321,513,VisionGuard,Soluciones,Lupa,2,2000
446,37,96,OptiClarity,Lentes de Contacto,Lupa,2,6000
447,523,575,SightSoothe,Lentes de Contacto,Glassi,1,18000
448,1354,284,VisionGuard,Lentes de Contacto,Glassi,1,4000
449,173,565,ClearView Elite,Lentes de Contacto,Bright,3,18000
450,1500,282,EyeRevive,Soluciones,Bright,1,2000
451,1187,242,VisionGuard,Gotas,Glassi,2,16000
452,1791,627,EyeRevive,Gotas,Glassi,1,20000
453,899,243,IrisBright,Lentes de Contacto,Bright,3,10000
454,339,51,SightSoothe,Lentes de Contacto,Glassi,3,16000
455,1129,390,ClearView Elite,Lentes de Contacto,Bright,2,16000
456,318,134,EyeRevive,Gotas,Bright,3,16000
457,1397,715,IrisBright,Gotas,Lupa,2,8000
458,1971,184,OptiClarity,Gotas,Lupa,3,12000
459,1290,776,LuminEye Care,Soluciones,Lupa,4,2000
